Date,Open,High,Low,Close,Adj Close,Volume
2025-02-28,236.95,242.09,230.20,241.84,241.25,56833400.00
2025-03-03,241.79,244.03,236.11,238.03,237.45,47184000.00
2025-03-04,237.71,240.07,234.68,235.93,235.35,53798100.00
2025-03-05,235.42,236.55,229.23,235.74,235.16,47227600.00
2025-03-06,234.44,237.86,233.16,235.33,234.76,45170400.00
2025-03-07,235.11,241.37,234.76,239.07,238.49,46273600.00
2025-03-10,235.54,236.16,224.22,227.48,226.92,72071200.00
2025-03-11,223.81,225.84,217.45,220.84,220.30,76137400.00
2025-03-12,220.14,221.75,214.91,216.98,216.45,62547500.00
2025-03-13,215.95,216.84,208.42,209.68,209.17,61368300.00
2025-03-14,211.25,213.95,209.58,213.49,212.97,60107600.00
2025-03-17,213.31,215.22,209.97,214.00,213.48,48073400.00
2025-03-18,214.16,215.15,211.49,212.69,212.17,42432400.00
2025-03-19,214.22,218.76,213.75,215.24,214.71,54385400.00
2025-03-20,213.99,217.49,212.22,214.10,213.58,48862900.00
2025-03-21,211.56,218.84,211.28,218.27,217.74,94127800.00
2025-03-24,221.00,221.48,218.58,220.73,220.19,44299500.00
2025-03-25,220.77,224.10,220.08,223.75,223.20,34493600.00
2025-03-26,223.51,225.02,220.47,221.53,220.99,34466100.00
2025-03-27,221.39,224.99,220.56,223.85,223.30,37094800.00
2025-03-28,221.67,223.81,217.68,217.90,217.37,39818600.00
2025-03-31,217.01,225.62,216.23,222.13,221.59,65299300.00
2025-04-01,219.81,223.68,218.90,223.19,222.65,36412700.00
2025-04-02,221.32,225.19,221.02,223.89,223.34,35905900.00
2025-04-03,205.54,207.49,201.25,203.19,202.69,103419000.00
2025-04-04,193.89,199.88,187.34,188.38,187.92,125910900.00
2025-04-07,177.20,194.15,174.62,181.46,181.02,160466300.00
2025-04-08,186.70,190.34,169.21,172.42,172.00,120859500.00
2025-04-09,171.95,200.61,171.89,198.85,198.36,184395900.00
2025-04-10,189.07,194.78,183.00,190.42,189.96,121880000.00
2025-04-11,186.10,199.54,186.06,198.15,197.67,87435900.00
2025-04-14,211.44,212.94,201.16,202.52,202.03,101352900.00
2025-04-15,201.86,203.51,199.80,202.14,201.65,51343900.00
2025-04-16,198.36,200.70,192.37,194.27,193.80,59732400.00
2025-04-17,197.20,198.83,194.42,196.98,196.50,52164700.00
2025-04-21,193.27,193.80,189.81,193.16,192.69,46742500.00
2025-04-22,196.12,201.59,195.97,199.74,199.25,52976400.00
2025-04-23,206.00,208.00,202.80,204.60,204.10,52929200.00
2025-04-24,204.89,208.83,202.94,208.37,207.86,47311000.00
2025-04-25,206.37,209.75,206.20,209.28,208.77,38222300.00
2025-04-28,210.00,211.50,207.46,210.14,209.63,38743100.00
2025-04-29,208.69,212.24,208.37,211.21,210.69,36827600.00
2025-04-30,209.30,213.58,206.67,212.50,211.98,52286500.00
2025-05-01,209.08,214.56,208.90,213.32,212.80,57365700.00
2025-05-02,206.09,206.99,202.16,205.35,204.85,101010600.00
2025-05-05,203.10,204.10,198.21,198.89,198.40,69018500.00
2025-05-06,198.21,200.65,197.02,198.51,198.03,51216500.00
2025-05-07,199.17,199.44,193.25,196.25,195.77,68536700.00
2025-05-08,197.72,200.05,194.68,197.49,197.01,50478900.00
2025-05-09,199.00,200.54,197.54,198.53,198.05,36453900.00
2025-05-12,210.97,211.27,206.75,210.79,210.55,63775800.00
2025-05-13,210.43,213.40,209.00,212.93,212.69,51909300.00
2025-05-14,212.43,213.94,210.58,212.33,212.09,49325800.00
2025-05-15,210.95,212.96,209.54,211.45,211.21,45029500.00
2025-05-16,212.36,212.57,209.77,211.26,211.02,54737900.00
2025-05-19,207.91,209.48,204.26,208.78,208.54,46140500.00
2025-05-20,207.67,208.47,205.03,206.86,206.63,42496600.00
2025-05-21,205.17,207.04,200.71,202.09,201.86,59211800.00
2025-05-22,200.71,202.75,199.70,201.36,201.13,46742400.00
2025-05-23,193.67,197.70,193.46,195.27,195.05,78432900.00
2025-05-27,198.30,200.74,197.43,200.21,199.98,56288500.00
2025-05-28,200.59,202.73,199.90,200.42,200.19,45339700.00
2025-05-29,203.58,203.81,198.51,199.95,199.72,51396800.00
2025-05-30,199.37,201.96,196.78,200.85,200.62,70819900.00
2025-06-02,200.28,202.13,200.12,201.70,201.47,35423300.00
2025-06-03,201.35,203.77,200.96,203.27,203.04,46381600.00
2025-06-04,202.91,206.24,202.10,202.82,202.59,43604000.00
2025-06-05,203.50,204.75,200.15,200.63,200.40,55126100.00
2025-06-06,203.00,205.70,202.05,203.92,203.69,46607700.00
2025-06-09,204.39,206.00,200.02,201.45,201.22,72862600.00
2025-06-10,200.60,204.35,200.57,202.67,202.44,54672600.00
2025-06-11,203.50,204.50,198.41,198.78,198.55,60989900.00
2025-06-12,199.08,199.68,197.36,199.20,198.97,43904600.00
2025-06-13,199.73,200.37,195.70,196.45,196.23,51447300.00
2025-06-16,197.30,198.69,196.56,198.42,198.20,43020700.00
2025-06-17,197.20,198.39,195.21,195.64,195.42,38856200.00
2025-06-18,195.94,197.57,195.07,196.58,196.36,45394700.00
2025-06-20,198.24,201.70,196.86,201.00,200.77,96813500.00
2025-06-23,201.63,202.30,198.96,201.50,201.27,55814300.00
2025-06-24,202.59,203.44,200.20,200.30,200.07,54064000.00
2025-06-25,201.45,203.67,200.62,201.56,201.33,39525700.00
2025-06-26,201.43,202.64,199.46,201.00,200.77,50799100.00
2025-06-27,201.89,203.22,200.00,201.08,200.85,73188600.00
2025-06-30,202.01,207.39,199.26,205.17,204.94,91912800.00
2025-07-01,206.67,210.19,206.14,207.82,207.58,78788900.00
2025-07-02,208.91,213.34,208.14,212.44,212.20,67941800.00
2025-07-03,212.15,214.65,211.81,213.55,213.31,34955800.00
2025-07-07,212.68,216.23,208.80,209.95,209.71,50229000.00
2025-07-08,210.10,211.43,208.45,210.01,209.77,42848900.00
2025-07-09,209.53,211.33,207.22,211.14,210.90,48749400.00
2025-07-10,210.51,213.48,210.03,212.41,212.17,44443600.00
2025-07-11,210.57,212.13,209.86,211.16,210.92,39765800.00
2025-07-14,209.93,210.91,207.54,208.62,208.38,38840100.00
2025-07-15,209.22,211.89,208.92,209.11,208.87,42296300.00
2025-07-16,210.30,212.40,208.64,210.16,209.92,47490500.00
2025-07-17,210.57,211.80,209.59,210.02,209.78,48068100.00
2025-07-18,210.87,211.79,209.70,211.18,210.94,48974600.00
2025-07-21,212.10,215.78,211.63,212.48,212.24,51377400.00
2025-07-22,213.14,214.95,212.23,214.40,214.16,46404100.00
2025-07-23,215.00,215.15,212.41,214.15,213.91,46989300.00
2025-07-24,213.90,215.69,213.53,213.76,213.52,46022600.00
2025-07-25,214.70,215.24,213.40,213.88,213.64,40268800.00
2025-07-28,214.03,214.85,213.06,214.05,213.81,37858000.00
2025-07-29,214.18,214.81,210.82,211.27,211.03,51411700.00
2025-07-30,211.90,212.39,207.72,209.05,208.81,45512500.00
2025-07-31,208.49,209.84,207.16,207.57,207.33,80698400.00
2025-08-01,210.87,213.58,201.50,202.38,202.15,104434500.00
2025-08-04,204.51,207.88,201.68,203.35,203.12,75109300.00
2025-08-05,203.40,205.34,202.16,202.92,202.69,44155100.00
2025-08-06,205.63,215.38,205.59,213.25,213.01,108483100.00
2025-08-07,218.88,220.85,216.58,220.03,219.78,90224800.00
2025-08-08,220.83,231.00,219.25,229.35,229.09,113854000.00
2025-08-11,227.92,229.56,224.76,227.18,227.18,61806100.00
2025-08-12,228.01,230.80,227.07,229.65,229.65,55626200.00
2025-08-13,231.07,235.00,230.43,233.33,233.33,69878500.00
2025-08-14,234.06,235.12,230.85,232.78,232.78,51916300.00
2025-08-15,234.00,234.28,229.34,231.59,231.59,56038700.00
2025-08-18,231.70,233.12,230.11,230.89,230.89,37476200.00
2025-08-19,231.28,232.87,229.35,230.56,230.56,39402600.00
2025-08-20,229.98,230.47,225.77,226.01,226.01,42263900.00
2025-08-21,226.27,226.52,223.78,224.90,224.90,30621200.00
2025-08-22,226.17,229.09,225.41,227.76,227.76,42477800.00
2025-08-25,226.48,229.30,226.23,227.16,227.16,30965700.00
2025-08-26,226.87,228.43,224.69,228.24,228.24,20663053.00
