Date,Close,High,Low,Volume
2025-03-02,9.67,9.96,9.67,7700.0
2025-03-03,9.6,9.6,9.49,1900.0
2025-03-04,9.52,9.7,9.51,11800.0
2025-03-05,9.51,9.56,9.51,11950.0
2025-03-06,9.5,9.5,9.45,1800.0
2025-03-09,9.6,9.6,9.51,750.0
2025-03-10,9.5,9.5,9.5,600.0
2025-03-11,9.46,9.65,9.46,23300.0
2025-03-12,9.4,9.5,9.4,8000.0
2025-03-16,9.58,9.58,9.58,400.0
2025-03-17,9.57,9.57,9.41,11382.0
2025-03-18,9.57,9.57,9.57,0.0
2025-03-19,9.42,9.5,9.42,12000.0
2025-03-20,9.35,9.35,9.32,200.0
2025-03-23,9.35,9.36,9.35,500.0
2025-03-24,9.3,9.3,9.22,1100.0
2025-03-25,9.16,9.3,9.16,1200.0
2025-03-26,9.29,9.3,9.1,1600.0
2025-03-27,9.38,9.42,9.38,3800.0
2025-03-30,9.26,9.35,9.2,4450.0
2025-04-01,9.35,9.35,9.26,5500.0
2025-04-02,9.36,9.38,9.36,4250.0
2025-04-03,9.33,9.4,9.33,5400.0
2025-04-07,9.3,9.4,9.17,2370.0
2025-04-08,9.32,9.32,9.3,10200.0
2025-04-09,9.41,9.5,9.41,1600.0
2025-04-10,9.59,9.59,9.41,3990.0
2025-04-13,9.51,9.51,9.41,2500.0
2025-04-15,9.4,9.41,9.33,2830.0
2025-04-16,9.36,9.36,9.36,100.0
2025-04-17,9.4,9.54,9.2,10700.0
2025-04-20,9.5,9.5,9.37,10800.0
2025-04-21,9.31,9.4,9.31,10400.0
2025-04-22,9.48,9.48,9.31,5100.0
2025-04-23,9.65,9.84,9.65,68735.0
2025-04-24,9.83,9.84,9.65,25018.0
2025-04-27,9.83,9.83,9.83,0.0
2025-04-28,9.65,9.65,9.65,200.0
2025-04-29,9.56,9.56,9.53,200.0
2025-04-30,9.56,9.56,9.56,0.0
2025-05-04,9.44,9.44,9.42,300.0
2025-05-05,9.32,9.5,9.31,17650.0
2025-05-06,9.41,9.55,9.32,1600.0
2025-05-07,9.51,9.51,9.23,3650.0
2025-05-08,9.58,9.58,9.36,10570.0
2025-05-11,9.52,9.52,9.52,500.0
2025-05-13,9.4,9.55,9.4,19147.0
2025-05-14,9.41,9.41,9.41,100.0
2025-05-15,9.42,9.42,9.39,300.0
2025-05-18,9.31,9.39,9.31,2000.0
2025-05-19,9.37,9.37,9.36,5300.0
2025-05-20,9.55,9.55,9.38,12100.0
2025-05-21,9.42,9.5,9.42,600.0
2025-05-22,9.41,9.41,9.24,600.0
2025-05-25,9.38,9.38,9.37,500.0
2025-05-26,9.5,9.5,9.42,3125.0
