Date,Close,High,Low,Volume
2025-03-02,642.3,645.1,620.0,45742.0
2025-03-03,638.0,650.0,633.5,106700.0
2025-03-04,632.0,645.0,629.2,69964.0
2025-03-05,628.0,630.1,621.5,36721.0
2025-03-06,628.0,629.8,620.2,17938.0
2025-03-09,618.0,640.5,614.1,38930.0
2025-03-10,621.8,630.0,615.3,28345.0
2025-03-11,616.5,623.0,613.0,30722.0
2025-03-12,619.0,620.0,611.0,23025.0
2025-03-16,616.0,617.8,611.0,24283.0
2025-03-17,614.2,615.0,605.2,52962.0
2025-03-18,613.0,614.8,611.1,17747.0
2025-03-19,608.0,614.5,608.0,29380.0
2025-03-20,609.36,611.0,605.2,33163.0
2025-03-23,600.37,616.0,600.0,31931.0
2025-03-24,603.09,605.0,594.5,29752.0
2025-03-25,600.38,615.1,594.0,40323.0
2025-03-26,603.17,605.0,600.0,24908.0
2025-03-27,606.65,615.2,600.0,24595.0
2025-03-30,606.96,612.0,600.0,23081.0
2025-04-01,600.63,609.8,600.0,25463.0
2025-04-02,603.49,612.6,600.0,21179.0
2025-04-03,605.34,612.0,603.1,30596.0
2025-04-07,605.24,607.0,600.0,15546.0
2025-04-08,606.1,608.0,600.1,29286.0
2025-04-09,606.58,618.0,605.0,19337.0
2025-04-10,607.73,615.0,606.0,27045.0
2025-04-13,606.1,612.1,605.2,17905.0
2025-04-15,609.08,618.0,608.0,22581.0
2025-04-16,613.88,620.0,608.2,27536.0
2025-04-17,619.09,622.0,612.1,42936.0
2025-04-20,625.05,631.0,620.0,63635.0
2025-04-21,631.11,635.0,622.1,74610.0
2025-04-22,631.09,635.0,628.0,40770.0
2025-04-23,622.59,635.0,622.0,84744.0
2025-04-24,620.63,624.0,613.0,46983.0
2025-04-27,620.26,633.0,617.0,56202.0
2025-04-28,618.16,623.8,617.0,19785.0
2025-04-29,615.95,621.0,614.0,31861.0
2025-04-30,612.63,620.0,610.0,20918.0
2025-05-04,615.22,620.0,610.0,50212.0
2025-05-05,614.65,620.0,612.1,12087.0
2025-05-06,614.4,617.0,612.0,22290.0
2025-05-07,622.28,622.8,611.0,29172.0
2025-05-08,618.51,627.8,616.0,22411.0
2025-05-11,618.83,625.0,615.1,23793.0
2025-05-13,615.86,629.0,614.5,35938.0
2025-05-14,613.82,626.9,612.0,21135.0
2025-05-15,612.4,616.0,610.1,27168.0
2025-05-18,615.4,624.0,610.0,24672.0
2025-05-19,623.15,625.0,618.0,35072.0
2025-05-20,629.31,630.0,616.5,45118.0
2025-05-21,635.51,654.6,634.0,111269.0
2025-05-22,642.19,651.8,636.0,96434.0
2025-05-25,643.02,655.0,638.0,116943.0
2025-05-26,650.47,660.0,647.0,220971.0
2025-05-27,654.3,658.0,645.0,98118.0
2025-05-28,663.48,665.0,643.0,157427.0
2025-06-02,668.89,676.0,666.0,214147.0
2025-06-03,655.3,668.9,655.1,163337.0
2025-06-04,646.68,663.0,642.2,46542.0
2025-06-05,653.07,654.0,645.0,75653.0
2025-06-08,643.3,658.0,640.0,72849.0
2025-06-09,645.89,654.0,636.7,53276.0
2025-06-10,650.66,655.0,640.3,97899.0
2025-06-11,645.42,659.1,640.5,44857.0
2025-06-12,638.86,656.0,638.0,44323.0
2025-06-15,635.54,647.0,627.0,72617.0
2025-06-16,636.26,640.5,632.1,63380.0
2025-06-17,639.58,645.0,638.0,87898.0
2025-06-18,637.73,641.0,635.4,35645.0
2025-06-19,636.45,640.0,634.0,30898.0
2025-06-22,627.82,638.0,627.3,55635.0
2025-06-23,634.42,636.0,625.0,22703.0
2025-06-24,635.34,642.0,632.1,28965.0
2025-06-25,635.28,638.0,631.0,38444.0
2025-06-26,635.17,637.0,634.0,28083.0
2025-06-29,643.87,645.0,636.1,22263.0
2025-06-30,642.5,650.0,635.0,22403.0
2025-07-01,643.42,647.9,640.1,29297.0
2025-07-02,649.79,651.0,644.1,43324.0
2025-07-03,656.82,662.9,640.3,100633.0
2025-07-06,659.61,662.8,648.0,73221.0
2025-07-07,655.14,666.0,653.0,118386.0
2025-07-08,657.54,667.9,652.0,78838.0
2025-07-09,660.66,665.0,656.0,64837.0
2025-07-10,670.29,678.0,660.8,108835.0
2025-07-13,700.22,704.0,680.0,358057.0
2025-07-14,689.66,700.0,682.0,116806.0
2025-07-15,694.53,696.0,683.0,80041.0
2025-07-16,701.56,707.9,692.1,380520.0
2025-07-17,730.96,735.0,695.0,231952.0
2025-07-20,735.33,747.0,725.1,283091.0
2025-07-21,745.19,750.0,722.0,283558.0
2025-07-22,763.92,775.0,745.0,283754.0
2025-07-23,764.84,770.0,750.0,292455.0
2025-07-24,756.72,766.0,745.1,264650.0
2025-07-27,744.89,760.0,742.0,366891.0
2025-07-28,736.35,750.0,728.0,205878.0
2025-07-29,736.48,750.0,734.0,173450.0
2025-07-30,722.16,749.9,719.0,125621.0
2025-07-31,717.09,729.3,713.0,156655.0
2025-08-03,711.01,731.4,710.1,98110.0
2025-08-04,716.91,719.9,700.0,109388.0
2025-08-05,710.14,725.0,705.0,81510.0
2025-08-06,705.66,713.9,703.8,46603.0
2025-08-07,707.57,717.0,701.0,71174.0
2025-08-11,709.53,735.5,708.0,196948.0
2025-08-12,709.49,718.0,701.1,143996.0
2025-08-13,715.14,719.0,712.0,79983.0
2025-08-14,715.69,722.0,714.0,84348.0
2025-08-17,719.87,725.0,710.4,108739.0
2025-08-18,725.71,730.0,718.3,83163.0
2025-08-19,734.54,736.0,721.0,77985.0
2025-08-20,739.14,741.0,728.0,130752.0
2025-08-21,747.77,750.0,735.9,170311.0
2025-08-24,732.96,754.0,729.0,104700.0
2025-08-25,742.98,753.0,722.0,108125.0
2025-08-26,748.45,754.0,734.0,110366.0
