Date,Close,High,Low,Volume
2025-03-12,225.6,229.0,224.9,79644.0
2025-03-16,222.9,226.0,221.6,130034.0
2025-03-17,221.9,227.9,221.0,102032.0
2025-03-18,221.0,226.3,220.6,76153.0
2025-03-19,220.1,221.9,220.0,76823.0
2025-03-20,220.08,222.0,218.1,105949.0
2025-03-23,216.08,221.0,215.3,122155.0
2025-03-24,217.28,218.9,213.5,181137.0
2025-03-25,213.37,221.6,210.7,145639.0
2025-03-26,216.86,217.0,213.5,96828.0
2025-03-27,218.82,221.1,216.9,95912.0
2025-03-30,219.52,222.0,217.0,104417.0
2025-04-01,218.23,221.5,217.2,87783.0
2025-04-02,219.1,222.5,217.5,70475.0
2025-04-03,222.99,241.0,213.0,225909.0
2025-04-07,218.8,223.0,218.0,63445.0
2025-04-08,218.5,219.7,215.5,65496.0
2025-04-09,219.39,222.8,216.3,80106.0
2025-04-10,219.14,220.5,218.2,98152.0
2025-04-13,218.69,220.0,218.3,45875.0
2025-04-15,219.09,223.0,218.3,49829.0
2025-04-16,219.83,223.0,219.0,131743.0
2025-04-17,222.62,224.0,219.5,104669.0
2025-04-20,222.8,231.0,221.7,182192.0
2025-04-21,220.97,224.0,220.4,110813.0
2025-04-22,219.18,221.9,218.4,75158.0
2025-04-23,216.91,219.0,215.0,131955.0
2025-04-24,216.72,217.9,215.4,74907.0
2025-04-27,217.59,219.7,217.0,100069.0
2025-04-28,216.64,220.0,216.5,184178.0
2025-04-29,216.27,218.9,215.7,154209.0
2025-04-30,215.07,217.9,214.1,92787.0
2025-05-04,217.08,218.0,215.1,127236.0
2025-05-05,215.97,218.0,215.3,64191.0
2025-05-06,214.78,216.3,214.2,98848.0
2025-05-07,220.84,221.6,213.0,165846.0
2025-05-08,218.22,223.0,217.0,77455.0
2025-05-11,217.27,220.7,217.1,79372.0
2025-05-13,216.19,220.0,216.0,62913.0
2025-05-14,215.66,218.4,215.0,78676.0
2025-05-15,215.32,217.0,214.3,89466.0
2025-05-18,214.95,217.5,213.1,215104.0
2025-05-19,218.72,220.0,214.0,418392.0
2025-05-20,221.72,222.5,216.0,102268.0
2025-05-21,220.9,234.0,220.0,193013.0
2025-05-22,234.43,240.0,220.0,1009816.0
2025-05-25,236.63,247.8,226.8,455875.0
2025-05-26,235.07,246.0,230.0,290043.0
2025-05-27,241.43,253.4,229.3,601439.0
2025-05-28,249.27,250.0,238.4,735920.0
2025-06-02,246.7,257.0,243.0,513720.0
2025-06-03,238.76,245.9,237.5,345696.0
2025-06-04,238.68,248.0,234.2,170799.0
2025-06-05,236.61,240.9,236.1,161439.0
2025-06-08,231.56,249.0,231.1,160783.0
2025-06-09,234.16,236.0,231.5,100109.0
2025-06-10,241.4,247.5,229.5,342181.0
2025-06-11,244.08,246.0,237.5,412097.0
2025-06-12,238.96,244.08,237.0,138305.0
2025-06-15,235.49,240.0,234.1,138499.0
2025-06-16,237.42,240.2,233.5,443097.0
2025-06-17,233.2,240.0,233.0,132126.0
2025-06-18,231.6,236.0,230.5,124174.0
2025-06-19,230.14,233.8,230.0,148454.0
2025-06-22,228.3,232.0,227.5,110145.0
2025-06-23,228.19,232.8,227.9,80545.0
2025-06-24,230.31,233.9,229.6,121045.0
