Date,Close,High,Low,Volume
2025-03-02,298.0,304.9,290.1,565551.0
2025-03-03,299.0,306.0,298.0,723046.0
2025-03-04,292.3,304.0,292.0,450812.0
2025-03-05,290.0,295.0,285.0,500149.0
2025-03-06,288.0,292.9,286.0,248935.0
2025-03-09,279.0,289.0,278.4,305110.0
2025-03-10,274.0,285.0,272.0,237950.0
2025-03-11,268.0,279.4,268.0,278347.0
2025-03-12,277.3,277.3,266.7,220117.0
2025-03-16,271.7,278.0,270.0,215254.0
2025-03-17,273.5,278.0,268.0,191405.0
2025-03-18,271.0,278.9,270.0,121492.0
2025-03-19,266.0,274.3,265.0,132074.0
2025-03-20,266.4,268.5,260.7,147825.0
2025-03-23,257.92,268.0,257.1,182324.0
2025-03-24,264.8,266.9,252.8,161450.0
2025-03-25,257.36,264.8,255.3,150982.0
2025-03-26,263.45,265.0,252.3,170794.0
2025-03-27,270.63,272.0,262.0,236780.0
2025-03-30,276.91,283.0,270.0,351548.0
2025-04-01,273.42,280.0,270.0,283267.0
2025-04-02,275.03,278.9,268.0,140359.0
2025-04-03,274.99,279.1,272.0,231903.0
2025-04-07,271.7,278.9,270.0,208865.0
2025-04-08,271.23,273.0,266.3,152730.0
2025-04-09,276.66,279.1,265.9,253367.0
2025-04-10,276.79,279.9,275.0,148266.0
2025-04-13,288.18,289.9,275.0,579092.0
2025-04-15,294.75,300.0,287.2,777416.0
2025-04-16,293.1,302.0,290.2,387969.0
2025-04-17,313.1,318.3,291.1,1608899.0
2025-04-20,317.29,326.0,314.0,1090237.0
2025-04-21,325.19,329.4,315.0,1341570.0
2025-04-22,312.87,328.0,311.0,831789.0
2025-04-23,303.88,312.9,300.0,1044422.0
2025-04-24,315.74,320.0,295.0,919186.0
2025-04-27,330.8,335.0,315.0,1604962.0
2025-04-28,319.06,340.0,318.0,907767.0
2025-04-29,317.78,328.0,315.1,743497.0
2025-04-30,319.49,325.9,314.1,761583.0
2025-05-04,307.59,325.0,306.0,746760.0
2025-05-05,304.38,310.0,301.0,624608.0
2025-05-06,303.95,311.0,298.3,551624.0
2025-05-07,305.61,311.0,299.1,693958.0
2025-05-08,311.43,318.9,304.1,970157.0
2025-05-11,299.05,317.6,296.0,813386.0
2025-05-13,292.5,303.5,292.0,569699.0
2025-05-14,285.83,296.5,284.8,359414.0
2025-05-15,288.79,291.0,285.0,311585.0
2025-05-18,288.26,294.0,287.3,229807.0
2025-05-19,292.03,295.5,282.5,232221.0
2025-05-20,302.8,310.0,286.2,322114.0
2025-05-21,301.03,319.0,300.0,526134.0
2025-05-22,300.11,308.0,295.1,307238.0
2025-05-25,295.38,303.9,294.0,244603.0
2025-05-26,295.19,307.0,293.3,393349.0
2025-05-27,295.96,300.0,292.0,229154.0
2025-05-28,296.45,301.9,294.1,354811.0
2025-06-02,314.62,316.0,300.3,1199802.0
2025-06-03,307.82,320.9,306.2,378399.0
2025-06-04,308.57,314.9,301.7,386005.0
2025-06-05,311.7,314.0,302.4,462000.0
