Date,Open,High,Low,Close,Adj Close,Volume
2025-02-28,392.66,397.63,386.57,396.99,395.61,32845700.00
2025-03-03,398.82,398.82,386.16,388.49,387.14,23007700.00
2025-03-04,383.40,392.58,381.00,388.61,387.26,29342900.00
2025-03-05,389.34,401.67,388.81,401.02,399.63,23433100.00
2025-03-06,394.28,402.15,392.68,396.89,395.51,23304600.00
2025-03-07,392.32,394.80,385.54,393.31,391.94,22034100.00
2025-03-10,385.84,386.40,377.22,380.16,378.84,32840100.00
2025-03-11,379.00,386.00,376.91,380.45,379.13,30380200.00
2025-03-12,382.95,385.22,378.95,383.27,381.94,24253600.00
2025-03-13,383.16,385.32,377.45,378.77,377.46,20473000.00
2025-03-14,379.78,390.23,379.51,388.56,387.21,19952800.00
2025-03-17,386.70,392.71,385.57,388.70,387.35,22474300.00
2025-03-18,387.07,387.37,381.10,383.52,382.19,19486900.00
2025-03-19,385.53,389.68,384.00,387.82,386.47,19185500.00
2025-03-20,385.74,391.79,383.28,386.84,385.50,18470500.00
2025-03-21,383.22,391.74,382.80,391.26,389.90,39675900.00
2025-03-24,395.40,395.40,389.81,393.08,391.72,21004500.00
2025-03-25,393.92,396.36,392.64,395.16,393.79,15775000.00
2025-03-26,395.00,395.31,388.57,389.97,388.62,16108400.00
2025-03-27,390.13,392.24,387.40,390.58,389.22,13766800.00
2025-03-28,388.08,389.13,376.93,378.80,377.49,21632000.00
2025-03-31,372.54,377.07,367.24,375.39,374.09,35184700.00
2025-04-01,374.65,382.85,373.23,382.19,380.86,19689500.00
2025-04-02,377.97,385.08,376.62,382.14,380.81,16092600.00
2025-04-03,374.79,377.48,369.35,373.11,371.82,30198000.00
2025-04-04,364.13,374.59,359.48,359.84,358.59,49209900.00
2025-04-07,350.88,371.00,344.79,357.86,356.62,50425000.00
2025-04-08,368.26,373.65,350.25,354.56,353.33,35868900.00
2025-04-09,353.54,393.23,353.10,390.49,389.13,50199700.00
2025-04-10,382.06,383.90,367.80,381.35,380.03,38024400.00
2025-04-11,380.64,390.05,378.89,388.45,387.10,23839200.00
2025-04-14,393.22,394.65,384.21,387.81,386.46,19251200.00
2025-04-15,388.51,391.89,384.16,385.73,384.39,17199900.00
2025-04-16,380.67,381.61,368.00,371.61,370.32,21967800.00
2025-04-17,373.75,374.32,366.89,367.78,366.50,21120200.00
2025-04-21,362.82,364.48,355.67,359.12,357.87,20807300.00
2025-04-22,363.38,367.77,359.86,366.82,365.55,19485000.00
2025-04-23,376.06,380.39,373.02,374.39,373.09,20545500.00
2025-04-24,375.70,388.45,375.19,387.30,385.96,22232300.00
2025-04-25,387.00,392.16,384.60,391.85,390.49,18973200.00
2025-04-28,391.96,392.74,386.64,391.16,389.80,16579400.00
2025-04-29,391.30,395.10,390.38,394.04,392.67,14974000.00
2025-04-30,390.30,396.66,384.44,395.26,393.89,36461100.00
2025-05-01,431.11,436.99,424.90,425.40,423.92,58938100.00
2025-05-02,431.74,439.44,429.99,435.28,433.77,30757400.00
2025-05-05,432.87,439.50,432.11,436.17,434.66,20136100.00
2025-05-06,432.20,437.73,431.17,433.31,431.81,15104200.00
2025-05-07,433.84,438.12,431.11,433.35,431.85,23295300.00
2025-05-08,437.93,443.67,435.66,438.17,436.65,23491300.00
2025-05-09,440.00,440.74,435.88,438.73,437.21,15324200.00
