Date,Close,High,Low,Volume
2025-03-02,519.0,519.0,506.0,114489.0
2025-03-03,515.0,529.2,515.0,110922.0
2025-03-04,507.0,520.0,504.0,116499.0
2025-03-05,499.0,509.5,498.5,66686.0
2025-03-06,498.1,502.0,498.1,76130.0
2025-03-09,495.0,502.0,493.0,53038.0
2025-03-10,491.0,500.0,490.0,44625.0
2025-03-11,491.0,495.0,486.1,45903.0
2025-03-12,491.0,494.0,489.0,39132.0
2025-03-16,491.1,494.9,485.0,71238.0
2025-03-17,490.0,498.0,486.0,41530.0
2025-03-18,491.4,499.8,488.0,28929.0
2025-03-19,488.9,496.0,487.0,49272.0
2025-03-20,487.31,490.0,487.0,36716.0
2025-03-23,482.62,488.0,482.0,48632.0
2025-03-24,484.03,486.0,476.5,54964.0
2025-03-25,480.13,485.0,478.0,78144.0
2025-03-26,481.31,485.0,477.0,49757.0
2025-03-27,485.09,490.9,480.0,38210.0
2025-03-30,485.96,492.0,484.0,52866.0
2025-04-01,484.56,493.0,483.0,37377.0
2025-04-02,485.26,494.2,484.0,36189.0
2025-04-03,488.73,494.0,486.1,42041.0
2025-04-07,486.97,497.0,482.0,46130.0
2025-04-08,484.65,486.0,478.0,38820.0
2025-04-09,486.27,494.0,483.2,26187.0
2025-04-10,485.97,492.4,484.0,30292.0
2025-04-13,486.97,495.6,484.1,44237.0
2025-04-15,487.96,496.0,486.0,62586.0
2025-04-16,489.31,497.0,488.0,43376.0
2025-04-17,494.38,495.6,489.0,54656.0
2025-04-20,492.09,501.2,490.0,79228.0
2025-04-21,490.87,495.0,490.0,49104.0
2025-04-22,487.76,494.0,485.0,31332.0
2025-04-23,486.77,488.0,482.0,65014.0
2025-04-24,485.87,489.9,483.0,30597.0
2025-04-27,485.01,490.0,483.2,50578.0
2025-04-28,481.3,487.9,480.6,45746.0
2025-04-29,481.45,488.0,480.0,29998.0
2025-04-30,478.18,487.0,478.0,49915.0
2025-05-04,478.32,487.4,477.0,44594.0
2025-05-05,478.25,481.0,477.0,39597.0
2025-05-06,476.94,484.0,475.1,39968.0
2025-05-07,483.31,485.0,474.1,66388.0
2025-05-08,482.64,490.0,480.5,54724.0
2025-05-11,485.65,490.0,484.5,44892.0
2025-05-13,487.41,493.6,481.0,65061.0
2025-05-14,483.85,490.0,482.0,25028.0
2025-05-15,482.11,486.0,481.5,47247.0
2025-05-18,480.49,485.0,479.0,37266.0
2025-05-19,482.58,488.0,479.9,42039.0
2025-05-20,488.16,489.0,481.0,43243.0
2025-05-21,494.21,527.0,492.5,91325.0
2025-05-22,499.55,503.0,494.6,71455.0
2025-05-25,496.75,510.0,495.0,108411.0
2025-05-26,498.07,516.0,496.1,87620.0
2025-05-27,496.48,498.1,493.6,33750.0
2025-05-28,500.42,501.9,494.0,66059.0
2025-06-02,500.78,510.4,500.1,73634.0
2025-06-03,497.45,505.9,495.0,54808.0
2025-06-04,491.11,499.0,490.0,48051.0
2025-06-05,492.37,498.0,489.0,47113.0
2025-06-08,489.65,495.0,489.0,50694.0
2025-06-09,490.93,494.9,489.0,29647.0
2025-06-10,491.77,494.9,490.0,38403.0
2025-06-11,490.34,495.0,490.0,39951.0
2025-06-12,489.44,493.0,488.3,53316.0
2025-06-15,490.73,495.0,490.0,43276.0
2025-06-16,490.59,497.0,489.0,48455.0
2025-06-17,488.99,492.0,487.1,36559.0
2025-06-18,489.97,492.0,488.0,44689.0
2025-06-19,489.04,494.8,487.0,78016.0
2025-06-22,488.99,493.0,485.0,47834.0
2025-06-23,487.35,489.9,485.0,30576.0
2025-06-24,487.3,493.0,483.2,54280.0
2025-06-25,486.24,488.9,481.0,24807.0
2025-06-26,485.95,488.5,485.1,33097.0
2025-06-29,489.82,490.0,482.0,40790.0
2025-06-30,491.81,493.1,490.1,37425.0
2025-07-01,491.79,496.4,491.0,35495.0
2025-07-02,494.96,495.8,491.0,55089.0
2025-07-03,498.22,500.0,490.0,91180.0
2025-07-06,500.89,506.8,499.1,64130.0
2025-07-07,497.07,503.0,496.3,36175.0
2025-07-08,495.46,500.0,493.0,33006.0
2025-07-09,499.01,500.0,495.2,42721.0
2025-07-10,511.17,522.0,500.0,264663.0
2025-07-13,535.77,537.5,521.3,270279.0
2025-07-14,522.22,538.0,521.1,165976.0
2025-07-15,529.8,530.0,515.0,136308.0
2025-07-16,541.37,543.6,530.0,260180.0
2025-07-17,548.66,554.0,542.2,192877.0
2025-07-20,549.77,560.0,548.0,233008.0
2025-07-21,545.21,554.0,540.0,126936.0
2025-07-22,554.63,555.5,545.2,172337.0
2025-07-23,551.41,562.0,543.6,132486.0
2025-07-24,548.08,556.0,547.1,95913.0
2025-07-27,547.84,554.0,545.1,147629.0
2025-07-28,540.43,547.0,536.0,183214.0
2025-07-29,548.55,552.0,545.0,142244.0
2025-07-30,545.18,555.0,545.0,115662.0
2025-07-31,536.48,548.2,535.0,110940.0
2025-08-03,524.4,538.0,522.5,166184.0
2025-08-04,527.97,532.0,519.0,103313.0
2025-08-05,527.73,540.0,517.5,91553.0
2025-08-06,525.93,530.0,523.0,48952.0
2025-08-07,527.36,534.9,525.6,63502.0
2025-08-11,526.3,534.0,525.0,69423.0
2025-08-12,524.86,534.5,524.2,79172.0
2025-08-13,523.63,524.9,522.0,50014.0
2025-08-14,523.82,526.5,523.1,47263.0
2025-08-17,521.21,528.0,519.0,63880.0
2025-08-18,518.95,524.0,517.0,48703.0
2025-08-19,518.81,525.0,518.0,44459.0
2025-08-20,518.81,521.0,517.0,43704.0
2025-08-21,518.14,524.9,517.3,38427.0
2025-08-24,513.56,520.0,513.0,72676.0
2025-08-25,522.58,525.0,509.0,81167.0
2025-08-26,529.35,533.0,514.5,67932.0
