Date,Open,High,Low,Close,Adj Close,Volume
2025-03-10,109.90,111.85,105.46,106.98,106.96,366487400.00
2025-03-11,106.99,112.24,104.77,108.76,108.74,354865700.00
2025-03-12,114.12,116.76,112.88,115.74,115.73,323857500.00
2025-03-13,117.03,117.76,113.79,115.58,115.57,299033100.00
2025-03-14,118.61,121.88,118.15,121.67,121.66,277593500.00
2025-03-17,122.74,122.89,118.03,119.53,119.52,255501500.00
2025-03-18,118.00,119.02,114.54,115.43,115.42,299686900.00
2025-03-19,117.27,120.45,115.68,117.52,117.51,273426200.00
2025-03-20,116.55,120.20,116.47,118.53,118.52,248829700.00
2025-03-21,116.94,117.99,115.42,117.70,117.69,266498500.00
2025-03-24,119.88,122.22,119.34,121.41,121.40,228452500.00
2025-03-25,120.55,121.29,118.92,120.69,120.68,167447200.00
2025-03-26,118.73,118.84,112.71,113.76,113.75,293463300.00
2025-03-27,111.35,114.45,110.66,111.43,111.42,236902100.00
2025-03-28,111.49,112.87,109.07,109.67,109.66,229872500.00
2025-03-31,105.13,110.96,103.65,108.38,108.37,299212700.00
2025-04-01,108.52,110.20,106.47,110.15,110.14,222614000.00
2025-04-02,107.29,111.98,106.79,110.42,110.41,220601200.00
2025-04-03,103.51,105.63,101.60,101.80,101.79,338769400.00
2025-04-04,98.91,100.13,92.11,94.31,94.30,532273800.00
2025-04-07,87.46,101.75,86.62,97.64,97.63,611041300.00
2025-04-08,103.81,105.85,94.46,96.30,96.29,476243400.00
2025-04-09,98.89,115.10,97.53,114.33,114.32,612918300.00
2025-04-10,109.37,110.86,99.15,107.57,107.56,437812400.00
2025-04-11,108.50,111.55,107.48,110.93,110.92,313417300.00
2025-04-14,114.11,114.29,109.07,110.71,110.70,264705000.00
2025-04-15,110.97,113.62,110.50,112.20,112.19,228966900.00
2025-04-16,104.55,106.79,100.45,104.49,104.48,397016900.00
2025-04-17,104.45,104.47,100.05,101.49,101.48,292517500.00
2025-04-21,98.77,99.44,95.04,96.91,96.90,288501100.00
2025-04-22,98.78,99.81,97.28,98.89,98.88,241004800.00
2025-04-23,104.52,104.80,102.02,102.71,102.70,247526000.00
2025-04-24,103.48,106.54,103.11,106.43,106.42,220815000.00
2025-04-25,106.85,111.92,105.73,111.01,111.00,251064700.00
2025-04-28,109.69,110.37,106.02,108.73,108.72,207708500.00
2025-04-29,107.67,110.20,107.44,109.02,109.01,170444300.00
2025-04-30,104.47,108.92,104.08,108.92,108.91,235044600.00
2025-05-01,113.08,114.94,111.30,111.61,111.60,236121500.00
2025-05-02,114.18,115.40,113.37,114.50,114.49,190194800.00
2025-05-05,112.91,114.67,112.66,113.82,113.81,133163200.00
2025-05-06,111.48,114.74,110.82,113.54,113.53,158525600.00
2025-05-07,113.05,117.68,112.28,117.06,117.05,206758800.00
2025-05-08,118.25,118.68,115.85,117.37,117.36,198428100.00
2025-05-09,117.35,118.23,115.21,116.65,116.64,132972200.00
2025-05-12,121.97,123.00,120.28,123.00,122.99,225023300.00
2025-05-13,124.98,131.22,124.47,129.93,129.92,330430100.00
2025-05-14,133.20,135.44,131.68,135.34,135.33,281180800.00
2025-05-15,134.29,136.30,132.66,134.83,134.82,226632600.00
2025-05-16,136.22,136.35,133.46,135.40,135.39,226542500.00
2025-05-19,132.39,135.87,132.39,135.57,135.56,193154600.00
2025-05-20,134.29,134.58,132.62,134.38,134.37,161514200.00
2025-05-21,133.06,137.40,130.59,131.80,131.79,270608700.00
2025-05-22,132.23,134.25,131.55,132.83,132.82,187344000.00
2025-05-23,130.00,132.68,129.16,131.29,131.28,198821300.00
2025-05-27,134.15,135.66,133.31,135.50,135.49,192953600.00
2025-05-28,136.03,137.25,134.79,134.81,134.80,304021100.00
2025-05-29,142.25,143.49,137.91,139.19,139.18,369241900.00
2025-05-30,138.72,139.62,132.92,135.13,135.12,333170900.00
2025-06-02,135.49,138.12,135.40,137.38,137.37,197663100.00
2025-06-03,138.78,142.00,137.95,141.22,141.21,225578800.00
2025-06-04,142.19,142.39,139.54,141.92,141.91,167120800.00
2025-06-05,142.17,144.00,138.83,139.99,139.98,231397900.00
2025-06-06,142.51,143.27,141.51,141.72,141.71,153986200.00
2025-06-09,143.19,145.00,141.94,142.63,142.62,185114500.00
2025-06-10,142.69,144.29,141.53,143.96,143.95,155881900.00
2025-06-11,144.61,144.99,141.87,142.83,142.83,167694000.00
2025-06-12,141.97,145.00,141.85,145.00,145.00,162365000.00
2025-06-13,142.48,143.58,140.85,141.97,141.97,180820600.00
2025-06-16,143.35,146.18,143.20,144.69,144.69,183133700.00
2025-06-17,144.49,145.22,143.78,144.12,144.12,139108000.00
2025-06-18,144.01,145.65,143.12,145.48,145.48,161494100.00
2025-06-20,145.45,146.20,142.65,143.85,143.85,242956200.00
2025-06-23,142.50,144.78,142.03,144.17,144.17,154308900.00
2025-06-24,145.56,147.96,145.50,147.90,147.90,187566100.00
2025-06-25,149.27,154.45,149.26,154.31,154.31,269146500.00
2025-06-26,155.98,156.72,154.00,155.02,155.02,198145700.00
2025-06-27,156.04,158.71,155.26,157.75,157.75,263234500.00
2025-06-30,158.40,158.66,155.96,157.99,157.99,194580300.00
2025-07-01,156.29,157.20,151.49,153.30,153.30,213143600.00
2025-07-02,152.98,157.60,152.97,157.25,157.25,171224100.00
2025-07-03,158.37,160.98,157.77,159.34,159.34,143716100.00
2025-07-07,158.20,159.31,157.34,158.24,158.24,140139000.00
2025-07-08,159.33,160.22,158.39,160.00,160.00,138133000.00
2025-07-09,161.22,164.42,161.16,162.88,162.88,183656400.00
2025-07-10,164.32,164.50,161.61,164.10,164.10,167704100.00
2025-07-11,163.72,167.89,163.47,164.92,164.92,193633300.00
2025-07-14,165.37,165.49,162.02,164.07,164.07,136975800.00
2025-07-15,171.19,172.40,169.20,170.70,170.70,230627400.00
2025-07-16,171.06,171.75,168.90,171.37,171.37,158831500.00
2025-07-17,172.02,174.16,170.83,173.00,173.00,160841100.00
2025-07-18,173.64,174.25,171.26,172.41,172.41,146456400.00
2025-07-21,172.75,173.38,171.00,171.38,171.38,123126100.00
2025-07-22,171.34,171.39,164.58,167.03,167.03,193114300.00
2025-07-23,169.53,171.26,167.97,170.78,170.78,154082200.00
2025-07-24,172.44,173.83,171.30,173.74,173.74,128984600.00
2025-07-25,173.61,174.72,172.96,173.50,173.50,122316800.00
2025-07-28,174.02,177.00,173.97,176.75,176.75,140023500.00
2025-07-29,177.96,179.38,175.02,175.51,175.51,154077500.00
2025-07-30,176.51,179.89,176.04,179.27,179.27,174312200.00
2025-07-31,182.90,183.30,175.93,177.87,177.87,221685400.00
2025-08-01,174.09,176.54,170.89,173.72,173.72,204529000.00
2025-08-04,175.16,180.20,174.52,180.00,180.00,148174600.00
2025-08-05,179.62,180.26,175.90,178.26,178.26,156407600.00
2025-08-06,176.33,179.90,176.25,179.42,179.42,137192300.00
2025-08-07,181.57,183.88,178.80,180.77,180.77,151878400.00
2025-08-08,181.55,183.30,180.40,182.70,182.70,123396700.00
2025-08-11,182.05,183.84,180.25,182.06,182.06,138323200.00
2025-08-12,182.96,184.48,179.46,183.16,183.16,145485700.00
2025-08-13,182.62,183.97,179.35,181.59,181.59,179871700.00
2025-08-14,179.75,183.02,179.46,182.02,182.02,129554000.00
2025-08-15,181.88,181.90,178.04,180.45,180.45,156602200.00
2025-08-18,180.60,182.94,180.59,182.01,182.01,132008000.00
2025-08-19,182.43,182.50,175.49,175.64,175.64,185229200.00
2025-08-20,175.17,176.00,168.80,175.40,175.40,215142700.00
2025-08-21,174.85,176.90,173.81,174.98,174.98,140040900.00
2025-08-22,172.61,178.59,171.20,177.99,177.99,172789400.00
2025-08-25,178.35,181.91,176.57,179.81,179.81,163012800.00
2025-08-26,180.06,182.39,178.81,181.77,181.77,168688200.00
2025-08-27,181.98,182.49,179.10,181.60,181.60,235518900.00
2025-08-28,180.82,184.47,176.41,180.17,180.17,281787800.00
2025-08-29,178.11,178.15,173.15,174.18,174.18,243257900.00
2025-09-02,170.00,172.38,167.22,170.78,170.78,231164900.00
2025-09-03,171.06,172.41,168.88,170.62,170.62,164424900.00
2025-09-04,170.57,171.86,169.41,171.66,171.66,141670100.00
2025-09-05,168.03,169.03,164.07,167.02,167.02,223991400.00
