Date,Open,High,Low,Close,Adj Close,Volume
2025-02-28,279.50,293.88,273.60,292.98,292.98,115697000.00
2025-03-03,300.34,303.94,277.30,284.65,284.65,115551400.00
2025-03-04,270.93,284.35,261.84,272.04,272.04,126706600.00
2025-03-05,272.92,279.55,267.71,279.10,279.10,94042900.00
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451600.00
2025-03-07,259.32,266.25,250.73,262.67,262.67,102369600.00
2025-03-10,252.54,253.37,220.00,222.15,222.15,189076900.00
2025-03-11,225.31,237.06,217.02,230.58,230.58,174896400.00
2025-03-12,247.22,251.84,241.10,248.09,248.09,142215700.00
2025-03-13,248.13,248.29,232.60,240.68,240.68,114813500.00
2025-03-14,247.31,251.58,240.73,249.98,249.98,100242300.00
2025-03-17,245.06,245.40,232.80,238.01,238.01,111900600.00
2025-03-18,228.16,230.10,222.28,225.31,225.31,111477600.00
2025-03-19,231.61,241.41,229.20,235.86,235.86,111993800.00
2025-03-20,233.35,238.00,230.05,236.26,236.26,99028300.00
2025-03-21,234.99,249.52,234.55,248.71,248.71,132728700.00
2025-03-24,258.08,278.64,256.33,278.39,278.39,169079900.00
2025-03-25,283.60,288.20,271.28,288.14,288.14,150361500.00
2025-03-26,282.66,284.90,266.51,272.06,272.06,153629800.00
2025-03-27,272.48,291.85,271.82,273.13,273.13,162572100.00
2025-03-28,275.58,276.10,260.57,263.55,263.55,123809400.00
2025-03-31,249.31,260.56,243.36,259.16,259.16,134008900.00
2025-04-01,263.80,277.45,259.25,268.46,268.46,146486900.00
2025-04-02,254.60,284.99,251.27,282.76,282.76,212787800.00
2025-04-03,265.29,276.30,261.51,267.28,267.28,136174300.00
2025-04-04,255.38,261.00,236.00,239.43,239.43,181229400.00
2025-04-07,223.78,252.00,214.25,233.29,233.29,183453800.00
2025-04-08,245.00,250.44,217.80,221.86,221.86,171603500.00
2025-04-09,224.69,274.69,223.88,272.20,272.20,219433400.00
2025-04-10,260.00,262.49,239.33,252.40,252.40,181722600.00
2025-04-11,251.84,257.74,241.36,252.31,252.31,128948100.00
2025-04-14,258.36,261.80,245.93,252.35,252.35,100135200.00
2025-04-15,249.91,258.75,247.54,254.11,254.11,79594300.00
2025-04-16,247.61,251.97,233.89,241.55,241.55,112378700.00
2025-04-17,243.47,244.34,237.68,241.37,241.37,83404800.00
2025-04-21,230.26,232.21,222.79,227.50,227.50,97768000.00
2025-04-22,230.96,242.79,229.85,237.97,237.97,120858500.00
2025-04-23,254.86,259.45,244.43,250.74,250.74,150381900.00
2025-04-24,250.50,259.54,249.20,259.51,259.51,94464200.00
2025-04-25,261.69,286.85,259.63,284.95,284.95,167560700.00
2025-04-28,288.98,294.86,272.42,285.88,285.88,151731800.00
2025-04-29,285.50,293.32,279.47,292.03,292.03,108906600.00
2025-04-30,279.90,284.45,270.78,282.16,282.16,128961100.00
2025-05-01,280.01,290.87,279.81,280.52,280.52,99659000.00
2025-05-02,284.90,294.78,279.81,287.21,287.21,114454700.00
2025-05-05,284.57,284.85,274.40,280.26,280.26,94618900.00
2025-05-06,273.11,277.73,271.35,275.35,275.35,76715800.00
2025-05-07,276.88,277.92,271.00,276.22,276.22,71592600.00
2025-05-08,279.63,289.80,279.41,284.82,284.82,97539400.00
2025-05-09,290.21,307.04,290.00,298.26,298.26,132387800.00
2025-05-12,321.99,322.21,311.50,318.38,318.38,112826700.00
2025-05-13,320.00,337.59,316.80,334.07,334.07,136992600.00
2025-05-14,342.50,350.00,337.00,347.68,347.68,136997300.00
2025-05-15,340.34,346.14,334.72,342.82,342.82,97882600.00
2025-05-16,346.24,351.62,342.33,349.98,349.98,95895700.00
2025-05-19,336.30,343.00,333.37,342.09,342.09,88869900.00
2025-05-20,347.87,354.99,341.63,343.82,343.82,131715500.00
2025-05-21,344.43,347.35,332.20,334.62,334.62,102354800.00
2025-05-22,331.90,347.27,331.39,341.04,341.04,97113400.00
2025-05-23,337.92,343.18,333.21,339.34,339.34,84654800.00
2025-05-27,347.35,363.79,347.32,362.89,362.89,120146400.00
2025-05-28,364.84,365.00,355.91,356.90,356.90,91404300.00
2025-05-29,365.29,367.71,356.00,358.43,358.43,88087800.00
2025-05-30,355.52,363.68,345.29,346.46,346.46,123474900.00
2025-06-02,343.50,348.02,333.33,342.69,342.69,81873800.00
2025-06-03,346.60,355.40,343.04,344.27,344.27,99324500.00
2025-06-04,345.10,345.60,327.33,332.05,332.05,98912100.00
2025-06-05,322.49,324.55,273.21,284.70,284.70,287499800.00
2025-06-06,298.83,305.50,291.14,295.14,295.14,164747700.00
2025-06-09,285.96,309.83,281.85,308.58,308.58,140908900.00
2025-06-10,314.94,327.83,310.67,326.09,326.09,151256500.00
2025-06-11,334.40,335.50,322.50,326.43,326.43,122611400.00
2025-06-12,323.08,332.56,316.86,319.11,319.11,105127500.00
2025-06-13,313.97,332.99,313.30,325.31,325.31,128964300.00
2025-06-16,331.29,332.05,326.41,329.13,329.13,83925900.00
2025-06-17,326.09,327.26,314.74,316.35,316.35,88282700.00
2025-06-18,317.31,329.32,315.45,322.05,322.05,95137700.00
2025-06-20,327.95,332.36,317.78,322.16,322.16,108688000.00
2025-06-23,327.54,357.54,327.48,348.68,348.68,190716800.00
2025-06-24,356.17,356.26,340.44,340.47,340.47,114736200.00
2025-06-25,342.70,343.00,320.40,327.55,327.55,119845100.00
2025-06-26,324.61,331.05,323.61,325.78,325.78,80440900.00
2025-06-27,324.51,329.34,317.50,323.63,323.63,89067000.00
2025-06-30,319.90,325.58,316.60,317.66,317.66,76695100.00
