,SN,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max Price,Min Price,Close Price
0,1,2025-04-17,162,"26,221","7,651,074.80",295.00,289.50,291.96
1,2,2025-04-16,178,"23,865","6,952,798.40",294.00,289.00,289.97
2,3,2025-04-15,161,"21,484","6,236,362.30",292.90,286.20,288.45
3,4,2025-04-13,186,"24,409","7,024,076.90",290.00,285.00,288.18
4,5,2025-04-10,148,"19,731","5,687,713.30",293.00,287.10,287.85
5,6,2025-04-09,181,"23,950","6,979,137.60",300.00,289.90,290.37
6,7,2025-04-08,204,"33,174","9,530,833.20",293.00,285.00,291.09
7,8,2025-04-07,184,"20,209","5,920,361.00",305.00,291.10,291.72
8,9,2025-04-03,373,"79,398","23,849,007.60",303.90,295.00,299.13
9,10,2025-04-02,264,"41,118","11,995,502.90",313.00,285.20,295.23
10,11,2025-04-01,160,"16,186","4,653,391.80",290.00,285.00,288.99
11,12,2025-03-30,238,"28,128","8,102,372.40",290.00,285.00,287.30
12,13,2025-03-27,188,"21,529","6,129,493.50",287.80,283.70,285.38
13,14,2025-03-26,165,"18,208","5,119,018.80",283.00,278.50,282.17
14,15,2025-03-25,223,"33,659","9,487,318.20",290.00,280.00,280.58
15,16,2025-03-24,171,"15,084","4,279,533.90",287.90,280.00,285.87
16,17,2025-03-23,283,"55,957","15,852,138.40",290.00,282.00,282.36
17,18,2025-03-20,157,"16,174","4,618,907.00",288.00,283.00,285.66
18,19,2025-03-19,196,"21,954","6,317,880.10",291.00,286.00,286.10
19,20,2025-03-18,184,"19,349","5,621,101.90",295.80,289.00,289.60
20,21,2025-03-17,153,"20,075","5,822,417.90",291.80,289.00,290.00
21,22,2025-03-16,259,"35,376","10,276,644.40",293.00,289.00,290.00
22,23,2025-03-12,186,"24,116","7,025,526.50",294.90,289.10,293.00
23,24,2025-03-11,198,"26,267","7,709,102.50",299.80,291.00,292.00
24,25,2025-03-10,227,"30,724","9,095,409.50",300.00,294.20,294.20
25,26,2025-03-09,218,"24,088","7,173,557.20",305.00,296.00,297.00
26,27,2025-03-06,227,"29,555","8,910,185.30",305.00,300.20,301.00
27,28,2025-03-05,217,"55,112","16,722,408.40",306.00,300.20,301.50
28,29,2025-03-04,297,"74,386","22,817,879.80",310.90,302.90,304.30
29,30,2025-03-03,498,"77,760","24,204,318.00",315.00,306.50,309.00
30,31,2025-03-02,640,"140,917","43,384,695.30",311.00,300.00,309.00
31,32,2025-02-27,489,"72,598","21,975,153.20",310.00,297.00,303.00
32,33,2025-02-25,259,"36,537","10,756,621.50",297.80,292.00,293.10
33,34,2025-02-24,226,"31,364","9,243,592.20",299.00,292.00,293.90
34,35,2025-02-23,352,"54,840","16,102,961.80",299.00,285.00,294.00
35,36,2025-02-20,194,"41,190","12,208,324.30",300.00,295.00,296.00
36,37,2025-02-18,271,"61,491","18,437,745.50",301.90,296.00,300.00
37,38,2025-02-17,351,"70,893","20,876,768.90",300.90,289.50,295.00
38,39,2025-02-16,258,"30,069","8,740,886.80",295.00,289.30,291.40
39,40,2025-02-13,144,"21,247","6,206,659.80",295.30,290.10,293.10
40,41,2025-02-12,160,"24,571","7,168,466.70",295.00,290.60,291.50
41,42,2025-02-11,131,"13,397","3,910,760.50",295.00,290.10,291.80
42,43,2025-02-10,113,"16,601","4,874,477.00",296.00,293.10,295.00
43,44,2025-02-09,189,"22,682","6,712,938.70",301.00,293.20,295.00
44,45,2025-02-06,187,"39,334","11,756,797.00",302.00,296.70,298.00
45,46,2025-02-05,145,"27,079","8,045,263.80",299.00,295.00,297.20
46,47,2025-02-04,256,"51,668","15,563,801.00",304.90,297.00,297.00
47,48,2025-02-03,309,"49,607","14,874,076.60",303.90,296.00,299.00
48,49,2025-02-02,329,"53,452","15,597,732.30",295.00,286.00,294.90
49,50,2025-01-28,134,"27,911","7,954,617.20",287.00,281.10,286.00
50,51,2025-01-27,165,"23,094","6,572,040.20",287.00,283.00,283.50
51,52,2025-01-26,277,"43,687","12,571,731.80",292.70,283.30,287.60
52,53,2025-01-23,228,"40,746","11,768,404.10",290.00,285.00,289.00
53,54,2025-01-22,251,"36,936","10,429,877.60",284.90,280.50,284.00
54,55,2025-01-21,213,"29,055","8,184,569.90",285.00,280.00,281.00
55,56,2025-01-20,194,"19,577","5,593,474.50",289.80,284.00,285.00
56,57,2025-01-19,283,"41,611","11,706,566.70",287.00,275.10,286.50
57,58,2025-01-16,256,"46,231","13,046,285.40",286.00,280.00,283.80
58,59,2025-01-15,382,"47,411","13,598,084.00",293.00,285.00,285.50
59,60,2025-01-13,301,"38,612","11,284,248.10",297.00,290.50,293.90
60,61,2025-01-12,164,"23,901","7,116,068.10",305.50,296.30,296.30
61,62,2025-01-09,252,"47,238","14,199,169.10",303.90,299.50,302.10
62,63,2025-01-08,170,"27,123","8,216,170.60",309.00,300.00,302.10
63,64,2025-01-07,187,"23,953","7,254,800.90",304.90,299.00,303.00
64,65,2025-01-06,245,"33,107","10,004,250.90",305.00,300.00,305.00
65,66,2025-01-05,221,"31,591","9,548,285.40",310.00,300.10,302.00
66,67,2025-01-02,188,"28,790","8,795,851.90",308.00,304.00,306.00
67,68,2025-01-01,255,"33,089","10,242,782.00",315.00,307.00,307.10
68,69,2024-12-31,405,"52,420","16,402,482.90",321.90,309.80,314.00
69,70,2024-12-29,538,"105,485","35,314,898.30",337.00,332.00,333.90
70,71,2024-12-26,335,"53,904","17,759,346.60",335.00,322.00,333.80
71,72,2024-12-24,180,"24,396","7,956,093.70",329.00,322.10,326.90
72,73,2024-12-23,218,"34,848","11,232,673.40",326.00,318.00,325.00
73,74,2024-12-22,247,"30,552","9,872,536.00",326.40,317.60,323.20
74,75,2024-12-19,458,"99,471","32,378,691.10",328.90,323.80,324.00
75,76,2024-12-18,150,"27,913","9,012,849.10",324.90,321.00,322.50
76,77,2024-12-17,224,"38,502","12,430,122.20",324.90,319.10,322.00
77,78,2024-12-16,407,"72,485","23,480,331.90",333.00,320.00,321.00
78,79,2024-12-12,243,"27,811","9,272,861.50",342.70,329.00,333.00
79,80,2024-12-11,384,"69,547","22,915,794.50",336.00,323.00,336.00
80,81,2024-12-10,311,"46,578","15,550,207.20",340.00,330.00,331.00
81,82,2024-12-09,239,"32,050","10,878,210.80",345.00,336.70,339.00
82,83,2024-12-08,305,"53,335","18,317,019.60",349.00,340.00,341.20
83,84,2024-12-05,218,"35,035","12,267,815.40",352.10,348.00,349.00
84,85,2024-12-04,221,"38,930","13,710,860.50",358.60,350.50,352.00
85,86,2024-12-03,226,"33,741","11,881,557.60",354.00,350.20,351.60
86,87,2024-12-02,223,"47,343","16,725,839.30",359.90,351.20,352.40
87,88,2024-12-01,224,"43,405","15,422,350.80",367.20,350.00,355.60
88,89,2024-11-28,226,"42,328","15,176,775.50",361.00,356.00,360.00
89,90,2024-11-27,203,"38,927","13,908,128.50",358.40,356.00,358.00
90,91,2024-11-26,219,"28,610","10,128,807.80",358.90,351.00,356.80
91,92,2024-11-25,219,"32,139","11,298,876.70",357.00,350.00,351.90
92,93,2024-11-24,292,"41,256","14,533,107.20",359.00,350.00,350.00
93,94,2024-11-21,360,"55,719","19,742,115.60",359.00,352.70,353.00
94,95,2024-11-20,230,"26,760","9,557,312.80",365.00,353.00,358.90
95,96,2024-11-19,295,"65,017","23,467,311.90",365.00,359.00,359.10
96,97,2024-11-17,419,"72,913","26,511,770.10",370.90,361.00,363.00
97,98,2024-11-14,281,"46,503","17,077,353.20",371.40,365.00,365.10
98,99,2024-11-13,225,"34,318","12,612,880.70",375.00,364.00,367.20
99,100,2024-11-12,311,"62,383","23,141,590.50",377.00,369.00,369.00
100,101,2024-11-11,385,"71,670","26,728,029.50",375.90,369.00,370.00
101,102,2024-11-10,370,"58,328","21,462,792.60",373.40,363.00,369.90
102,103,2024-11-06,189,"32,031","11,716,757.30",369.50,363.10,366.10
103,104,2024-11-05,198,"31,483","11,626,714.30",376.00,366.20,366.50
104,105,2024-10-30,267,"33,749","12,577,446.70",377.00,370.00,371.50
105,106,2024-10-29,310,"63,203","23,360,199.40",373.30,366.00,371.00
106,107,2024-10-28,232,"44,073","15,958,086.90",366.00,354.10,366.00
107,108,2024-10-27,263,"43,996","15,803,994.90",365.00,354.80,358.90
108,109,2024-10-24,601,"118,792","42,683,503.80",373.00,352.80,361.10
109,110,2024-10-23,614,"135,310","50,127,693.20",384.00,365.00,367.00
110,111,2024-10-22,254,"53,921","20,337,142.80",382.00,374.20,378.10
111,112,2024-10-21,408,"85,200","32,426,996.90",385.90,377.50,377.60
112,113,2024-10-20,557,"112,813","43,954,547.90",394.90,380.00,386.60
