SN,Symbol,Close Price* (Rs),Open Price (Rs),High Price (Rs),Low Price (Rs),Total Traded Quantity,Total Traded Value,Total Trades,LTP,Previous Day Close Price (Rs),Average Traded Price (Rs),52 Week High (Rs),52 Week Low (Rs),MarketCapitalization (Rs) (Amt in millions),Date
1,ACLBSL,"1,073.50","1,070.00","1,076.10","1,046.60","3,117","3,308,573.2",53,"1,076.10(20.2)","1,055.90","1,061.46","1,491.00",730.40,"3,941.29",04/10/2025
2,ADBL,287.85,291.00,293.00,287.10,"19,731","5,687,713.3",148,289.00(-1.37),290.37,288.26,428.40,220.50,"39,882.26",04/10/2025
3,ADBLD83,"1,115.00","1,115.00","1,115.00","1,115.00",15,"16,725",1,"1,115.00(3.3)","1,111.70","1,115.00","1,160.00","1,037.00","2,787.50",04/10/2025
4,AHL,722.07,719.80,747.50,719.80,"1,883","1,361,762",40,721.00(-12.51),733.51,723.18,904.00,426.10,"2,455.04",04/10/2025
5,AHPC,252.79,254.00,255.90,250.10,"78,680","19,896,591.2",238,252.40(1.31),251.09,252.87,349.00,149.00,"9,727.37",04/10/2025
6,AKJCL,201.78,201.00,204.00,200.00,"85,211","17,162,164.2",309,201.50(-0.34),201.84,201.40,274.90,150.90,"4,035.60",04/10/2025
7,AKPL,227.09,225.10,229.00,225.10,"35,098","7,968,393.3",173,227.00(1.29),225.71,227.03,326.00,157.20,"8,847.29",04/10/2025
8,ALBSL,819.78,806.10,823.00,806.10,"1,543","1,257,664.9",63,820.00(0),820.00,815.07,"1,177.00",696.20,"6,009.37",04/10/2025
9,ALICL,746.91,750.00,752.00,741.20,"15,135","11,316,413.7",84,749.90(1.42),748.48,747.69,831.00,523.00,"25,393.72",04/10/2025
10,ANLB,"5,200.70","5,035.40","5,220.00","5,035.40","3,059","15,882,687.1",50,"5,200.00(63.42)","5,136.58","5,192.11","6,735.00","1,910.00","4,074.40",04/10/2025
11,API,271.84,274.00,276.00,271.00,"84,629","23,125,472.1",320,272.00(2.01),269.99,273.25,390.00,162.00,"16,516.80",04/10/2025
12,AVYAN,"1,072.64","1,088.00","1,088.00","1,038.50","1,213","1,293,124.5",43,"1,074.00(6.89)","1,067.11","1,066.05","1,306.80",650.30,"2,681.60",04/10/2025
13,BARUN,522.63,505.00,532.00,505.00,"253,511","132,266,240.9",881,522.00(11.79),510.21,521.73,550.00,211.00,"2,800.33",04/10/2025
14,BBC,"6,102.13","6,219.90","6,220.00","6,000.00","1,862","11,378,931",72,"6,000.00(-104.75)","6,104.75","6,111.13","7,247.00","3,631.00","244,695.41",04/10/2025
15,BEDC,756.05,775.00,788.00,750.00,"30,261","23,241,593.8",123,757.00(-15.61),772.61,768.03,"1,080.00",337.20,"4,113.32",04/10/2025
16,BFC,560.33,570.00,570.00,555.00,"8,002","4,481,148.4",74,562.50(1.86),560.64,560.00,951.60,343.00,"4,989.31",04/10/2025
17,BGWT,"1,012.25","1,006.00","1,025.00","1,006.00","3,686","3,736,234",55,"1,020.00(0.54)","1,019.46","1,013.62","1,361.70",579.10,"6,022.35",04/10/2025
18,BHDC,565.58,578.00,587.00,564.00,"4,589","2,606,898.8",90,566.50(-0.21),566.71,568.07,829.70,460.10,"6,389.92",04/10/2025
19,BHL,283.49,288.00,292.90,281.50,"73,647","20,999,272.6",485,282.20(-7.14),289.34,285.13,520.00,281.50,"10,364.22",04/10/2025
20,BHPL,"1,039.60","1,035.00","1,044.50","1,026.00","21,981","22,809,020",50,"1,026.00(1)","1,025.00","1,037.66","1,275.00",449.00,"2,599.00",04/10/2025
21,BNHC,500.05,493.10,502.00,493.10,"11,870","5,931,631.1",122,502.00(3.62),498.38,499.71,742.00,422.00,"2,000.20",04/10/2025
22,BNL,"17,930.93","18,375.00","18,375.00","17,647.40",81,"1,460,187",8,"17,800.00(-950)","18,750.00","18,027.00","22,500.00","14,900.00","34,945.36",04/10/2025
23,BNT,"13,213.33","13,425.00","13,425.00","13,200.00",120,"1,593,920",9,"13,220.00(20)","13,200.00","13,282.66","18,100.00","12,208.10","15,988.13",04/10/2025
24,BOKD86,"1,060.80","1,040.00","1,060.80","1,040.00",105,"110,582.5",6,"1,060.80(20.8)","1,040.00","1,053.16","1,080.00",950.00,"1,697.28",04/10/2025
25,BPCL,404.45,411.10,411.10,400.00,"31,444","12,741,582.9",251,405.00(-9.3),414.30,405.21,536.50,284.40,"13,787.96",04/10/2025
26,C30MF,9.35,9.19,9.38,8.86,"25,060","233,013.5",16,9.35(0.33),9.02,9.29,10.92,8.13,701.93,04/10/2025
27,CBBL,844.85,846.00,848.50,840.00,"6,161","5,200,624.5",86,845.00(1.95),843.05,844.12,"1,155.00",800.00,"27,164.85",04/10/2025
28,CBLD88,"1,154.60","1,132.00","1,132.00","1,132.00",7,"8,082.2",1,"1,132.00(0)","1,132.00","1,154.60","1,254.20","1,018.00","3,463.80",04/10/2025
29,CCBD88,"1,142.00","1,133.00","1,142.00","1,133.00",50,"56,875",2,"1,142.00(-7.5)","1,149.50","1,137.50","1,250.00","1,029.00","2,512.40",04/10/2025
30,CFCL,609.16,604.00,611.90,595.90,"30,144","18,229,313.5",192,605.00(4.49),600.51,604.74,820.00,354.00,"5,780.17",04/10/2025
31,CGH,852.20,856.00,864.90,850.00,"25,325","21,580,072.5",238,854.90(0.35),854.55,852.12,"1,360.00",760.00,"13,073.52",04/10/2025
32,CHCL,473.93,474.00,479.80,470.00,"50,652","23,945,185.1",253,473.40(-1.85),475.25,472.73,697.00,426.30,"41,622.42",04/10/2025
33,CHDC,"2,461.05","2,398.00","2,493.00","2,398.00","118,581","292,246,019.3",943,"2,458.00(11.98)","2,446.02","2,464.52","2,500.00",627.00,"25,453.09",04/10/2025
34,CHL,456.71,462.50,465.00,454.00,"50,581","23,220,339.6",205,455.50(1.83),453.67,459.07,599.70,300.00,"1,767.36",04/10/2025
35,CIT,"1,942.10","1,958.00","1,958.00","1,936.00","18,055","35,103,742.7",373,"1,945.00(-5.96)","1,950.96","1,944.26","2,700.00","1,887.00","125,881.34",04/10/2025
36,CITY,842.65,840.00,853.00,838.80,"2,775","2,339,109.9",79,841.00(-1.26),842.26,842.92,"1,168.50",562.00,"14,105.96",04/10/2025
37,CIZBD86,"1,116.00","1,116.00","1,116.00","1,116.00",10,"11,160",1,"1,116.00(0)","1,116.00","1,116.00","1,147.20","1,000.30","2,790.00",04/10/2025
38,CIZBD90,"1,152.70","1,130.00","1,152.70","1,130.00",75,"85,817.5",3,"1,152.70(22.6)","1,130.10","1,144.23","1,205.00","1,000.00","3,458.10",04/10/2025
39,CKHL,723.28,705.00,728.00,702.40,"4,454","3,177,018.6",83,724.30(21.57),702.73,713.29,910.00,480.50,"2,893.12",04/10/2025
40,CLI,499.62,500.00,506.00,498.90,"17,468","8,737,484.3",318,499.90(-1.17),501.07,500.19,774.90,430.00,"24,981.00",04/10/2025
41,CMF2,9.59,9.41,9.59,9.41,"3,990","38,210.1",3,9.59(0.18),9.41,9.57,10.68,7.65,537.04,04/10/2025
42,CORBL,"1,780.17","1,767.00","1,805.00","1,767.00","5,768","10,349,821.9",93,"1,780.00(-2.12)","1,782.12","1,794.35","2,842.30",405.00,"9,345.89",04/10/2025
43,CREST,332.70,302.50,332.70,302.50,210,"68,364",21,332.70(332.7),0.00,325.54,332.70,302.50,"2,495.25",04/10/2025
44,CYCL,"1,597.55","1,572.00","1,605.00","1,570.10","2,171","3,454,658.6",91,"1,581.10(-9.37)","1,590.47","1,591.27","1,958.00","1,400.00","4,256.26",04/10/2025
45,CZBIL,210.26,210.00,213.50,207.50,"122,344","25,810,115.3",143,210.00(-1.24),211.24,210.96,296.00,152.50,"31,053.33",04/10/2025
46,DDBL,776.42,777.00,780.00,770.10,"4,511","3,489,133.3",61,777.00(-0.26),777.26,773.47,"1,099.00",670.00,"14,505.75",04/10/2025
47,DHPL,407.83,378.00,415.00,378.00,"90,974","36,331,168.5",193,400.00(14.9),385.10,399.35,427.20,185.30,"1,076.67",04/10/2025
48,DLBS,"1,569.95","1,556.42","1,580.00","1,556.42",651,"1,023,755",28,"1,570.00(13.58)","1,556.42","1,572.58","2,250.00","1,091.00","2,089.60",04/10/2025
49,DOLTI,667.82,671.10,679.60,666.00,"10,261","6,880,777.8",96,666.00(-6.39),672.39,670.57,"1,017.00",390.10,"3,582.76",04/10/2025
50,DORDI,365.66,370.00,370.00,365.10,"10,195","3,754,851.2",90,365.10(-4.27),369.37,368.30,696.00,356.40,"7,710.02",04/10/2025
51,EBL,607.73,615.00,615.00,606.00,"27,045","16,438,829.4",114,606.60(0.02),606.58,607.83,790.00,492.10,"78,668.79",04/10/2025
52,EBLD86,"1,056.00","1,056.00","1,056.00","1,056.00","1,000","1,056,000",2,"1,056.00(0)","1,056.00","1,056.00","1,080.00",937.00,904.76,04/10/2025
53,EBLEB89,"1,010.00","1,010.00","1,010.00","1,010.00",52,"52,520",2,"1,010.00(5)","1,005.00","1,010.00","1,014.10","1,000.00",754.30,04/10/2025
54,EDBL,612.01,605.00,625.00,605.00,"31,828","19,625,166.7",135,610.00(-7.15),617.15,616.60,838.20,343.50,"7,648.26",04/10/2025
55,EHPL,679.14,685.00,685.00,668.20,"10,274","6,938,339.4",54,671.00(-6.88),677.88,675.32,997.00,431.80,"4,210.67",04/10/2025
56,ENL,"1,214.79","1,206.00","1,225.00","1,206.00","2,137","2,591,115.3",57,"1,211.00(-13.86)","1,224.86","1,212.50","1,453.50",766.00,"6,749.37",04/10/2025
57,FMDBL,768.86,763.00,773.00,761.00,"9,936","7,606,080.1",101,770.00(7.37),762.63,765.50,"1,004.00",594.30,"10,340.18",04/10/2025
58,FOWAD,"1,179.16","1,163.00","1,183.00","1,161.00","2,792","3,282,332.4",50,"1,183.00(21)","1,162.00","1,175.62","1,739.00","1,088.00","14,102.21",04/10/2025
59,GBBD85,"1,045.90","1,045.00","1,045.00","1,042.00",53,"55,310.3",4,"1,042.00(-3)","1,045.00","1,043.59","1,090.30",940.00,"1,045.90",04/10/2025
60,GBBL,395.07,390.00,397.80,390.00,"29,815","11,766,253",132,396.00(1.05),394.95,394.64,531.40,350.10,"22,442.02",04/10/2025
61,GBILD84/85,"1,185.80","1,210.00","1,210.00","1,210.00",1,"1,185.8",1,"1,210.00(0)","1,210.00","1,185.80","1,220.00","1,000.00","5,929.00",04/10/2025
62,GBIME,219.14,220.00,220.50,218.20,"98,152","21,542,405.7",354,219.20(-0.19),219.39,219.48,302.00,170.00,"83,527.08",04/10/2025
63,GBLBS,830.81,815.00,845.00,815.00,"3,783","3,123,772.5",36,825.30(-2.39),827.69,825.73,987.00,600.00,"8,162.71",04/10/2025
64,GCIL,539.40,541.90,570.00,538.00,"130,501","71,027,370.2",669,538.00(-14.78),552.78,544.26,668.00,460.00,"24,638.10",04/10/2025
65,GFCL,662.27,674.50,683.90,660.00,"12,415","8,248,432.1",114,660.00(-1.3),661.30,664.39,"1,353.00",438.00,"6,265.84",04/10/2025
66,GHL,267.56,274.00,275.00,267.00,"204,444","55,141,734",481,267.50(-4.18),271.68,269.71,318.00,141.00,"4,414.74",04/10/2025
67,GIBF1,9.97,10.34,10.34,9.96,"1,500","15,062",12,9.97(-0.19),10.16,10.04,10.72,7.92,"1,022.69",04/10/2025
68,GILB,"1,244.21","1,240.00","1,245.00","1,221.00","1,260","1,556,403.2",29,"1,242.10(11.1)","1,231.00","1,235.24","1,815.00",946.10,"7,700.42",04/10/2025
69,GILBPO,695.00,695.00,695.00,695.00,"2,000","1,390,000",2,695.00(0),695.00,695.00,695.00,621.00,392.68,04/10/2025
70,GLBSL,"2,803.55","2,894.00","2,894.00","2,794.00","2,487","6,977,053.8",52,"2,800.00(-40.07)","2,840.07","2,805.40","3,486.00","1,560.00","3,247.90",04/10/2025
71,GLH,237.50,234.40,243.10,234.40,"19,681","4,709,035",154,237.00(-0.02),237.02,239.26,336.00,196.00,"4,275.00",04/10/2025
72,GMFBS,"1,627.23","1,611.00","1,640.00","1,611.00","1,187","1,929,945",22,"1,640.00(7.41)","1,632.59","1,625.90","2,327.00","1,075.00","2,466.14",04/10/2025
73,GMFIL,508.66,508.20,519.00,507.10,"6,158","3,139,139.9",69,511.00(-6.82),517.82,509.76,759.00,348.00,"5,148.53",04/10/2025
74,GMLI,"2,599.24","2,530.00","2,600.00","2,515.00","80,826","208,191,950.2","1,178","2,599.70(35.19)","2,564.51","2,575.80","2,778.00",301.00,"19,494.30",04/10/2025
75,GRDBL,"1,254.43","1,251.20","1,315.90","1,251.20","30,285","38,092,153.8",159,"1,254.20(-11.42)","1,265.62","1,257.78","2,001.40",372.10,"7,146.47",04/10/2025
76,GSY,9.11,8.96,9.16,8.96,"8,200","74,388",33,9.11(0),9.11,9.07,10.00,8.80,"1,138.75",04/10/2025
77,GUFL,580.12,596.00,596.00,578.20,"6,003","3,492,487.6",71,583.00(-1.52),584.52,581.79,"1,041.00",548.00,"5,035.41",04/10/2025
78,GVL,491.26,485.00,495.00,483.00,"31,486","15,444,560",185,493.00(2.2),490.80,490.52,699.90,402.40,"16,887.06",04/10/2025
79,GWFD83,"1,215.00","1,210.00","1,215.00","1,210.00",190,"230,025",2,"1,215.00(15)","1,200.00","1,210.65","1,330.00","1,140.00",303.75,04/10/2025
80,H8020,10.50,10.36,10.56,10.36,"3,200","33,426",10,10.41(-0.14),10.55,10.44,10.83,8.36,105.00,04/10/2025
81,HATHY,"1,376.22","1,395.10","1,398.90","1,367.00","24,467","33,708,444.4",285,"1,374.00(-10.39)","1,384.39","1,377.71","1,816.00",808.50,"38,966.29",04/10/2025
82,HBL,234.32,230.90,237.00,230.90,"51,849","12,103,391.6",184,235.00(-0.28),235.28,233.43,312.10,167.10,"50,745.78",04/10/2025
83,HDHPC,196.59,199.00,199.00,196.10,"60,117","11,854,553.5",229,197.20(0.11),197.09,197.19,273.00,123.30,"5,504.52",04/10/2025
84,HDL,"1,194.50","1,202.00","1,204.00","1,190.10","19,516","23,321,599.8",328,"1,194.00(2.64)","1,191.36","1,194.99","1,749.00","1,136.00","36,711.78",04/10/2025
85,HEI,599.70,602.00,603.90,595.00,"7,102","4,251,130.9",50,602.90(2.63),600.27,598.58,810.00,558.00,"14,993.44",04/10/2025
86,HEIP,360.18,366.00,368.00,360.10,"15,250","5,511,981",15,360.10(-0.76),360.86,361.44,563.00,327.00,963.50,04/10/2025
87,HHL,483.06,480.10,498.60,480.10,"4,274","2,077,774.8",92,483.00(-0.59),483.59,486.14,635.00,330.50,"5,289.51",04/10/2025
88,HIDCL,276.79,277.00,279.90,275.00,"148,266","41,144,491.2",420,277.00(0.34),276.66,277.50,360.00,158.10,"67,979.11",04/10/2025
89,HIDCLP,175.78,177.00,177.60,174.70,"108,803","19,110,678.9",154,176.10(-0.53),176.63,175.64,212.00,97.20,"5,800.74",04/10/2025
90,HLBSL,956.54,970.00,976.00,946.00,"6,526","6,225,084.6",77,950.00(-8.68),958.68,953.88,"1,447.00",681.10,"3,059.19",04/10/2025
91,HLI,427.50,431.30,433.00,426.50,"60,748","26,014,876.8",202,427.70(-2.02),429.72,428.24,607.00,364.10,"39,087.34",04/10/2025
92,HPPL,600.78,619.00,620.10,596.90,"177,939","107,723,485.1",530,599.00(-18.56),617.56,605.39,670.00,244.00,"6,400.81",04/10/2025
93,HRL,"1,029.73","1,045.00","1,059.00","1,027.10","295,013","305,045,052.3","2,100","1,027.50(-15.46)","1,042.96","1,034.00","1,156.00",512.00,"107,091.92",04/10/2025
94,HURJA,235.73,238.90,240.70,233.10,"77,678","18,343,838.1",226,236.00(0.22),235.78,236.15,326.60,183.60,"4,667.45",04/10/2025
95,ICFC,595.72,603.00,608.00,595.00,"16,428","9,809,734.9",151,595.00(-6.88),601.88,597.13,910.00,488.00,"7,050.17",04/10/2025
96,ICFCD83,"1,245.00","1,225.00","1,225.00","1,225.00","1,201","1,471,245",2,"1,225.00(24)","1,201.00","1,225.01","1,325.00","1,165.00",249.00,04/10/2025
97,ICFCD88,"1,080.00","1,062.00","1,080.00","1,062.00",175,"187,825",6,"1,080.00(5)","1,075.00","1,073.28","1,100.00","1,000.00",324.00,04/10/2025
98,IGI,563.61,571.00,571.00,562.00,"18,470","10,454,927",135,563.00(0.77),562.23,566.04,760.00,508.00,"17,073.63",04/10/2025
99,IHL,687.06,679.00,691.10,676.10,"6,178","4,225,493.7",95,687.80(6.81),680.99,683.95,838.00,359.10,"4,122.36",04/10/2025
100,ILBS,922.04,901.30,948.90,901.30,"2,219","2,043,952.9",40,924.00(11.42),912.58,921.11,"1,492.00",883.00,"4,586.37",04/10/2025
101,ILBSP,448.30,448.30,448.30,448.30,"3,048","1,366,418.4",1,448.30(8.7),439.60,448.30,565.00,358.00,-,04/10/2025
102,ILI,464.93,465.20,470.00,463.40,"9,202","4,283,353",309,463.40(-1.79),465.19,465.48,606.00,412.50,"23,246.50",04/10/2025
103,JBBL,336.72,336.10,339.00,336.00,"19,938","6,715,098.9",111,336.00(-0.01),336.01,336.79,445.00,275.00,"14,801.49",04/10/2025
104,JBLB,"1,320.14","1,320.00","1,341.00","1,314.10","3,965","5,227,970.3",159,"1,319.00(0.93)","1,318.07","1,318.52","1,920.00","1,269.10","20,279.62",04/10/2025
105,JFL,507.33,521.00,521.00,505.00,"24,043","12,221,083",153,507.10(-5.82),512.92,508.30,"1,083.30",400.00,"3,502.98",04/10/2025
106,JOSHI,387.52,392.30,392.30,383.00,"28,900","11,172,765.9",187,388.00(3.34),384.66,386.60,521.60,265.00,"1,439.25",04/10/2025
107,JSLBB,"1,469.00","1,447.00","1,475.00","1,447.00",409,"595,732",11,"1,469.00(-6.9)","1,475.90","1,456.55","1,860.40","1,080.00","2,498.65",04/10/2025
108,KBL,208.39,210.00,211.80,207.80,"382,250","79,771,424.3",349,209.00(-0.01),209.01,208.68,272.90,129.60,"54,652.07",04/10/2025
109,KBLD89,"1,203.00","1,203.00","1,203.00","1,203.00",25,"30,075",1,"1,203.00(2)","1,201.00","1,203.00","1,275.00","1,046.20","3,609.00",04/10/2025
110,KBSH,"2,218.23","2,248.00","2,248.00","2,200.00",672,"1,484,874.5",27,"2,210.00(2.85)","2,207.15","2,209.63","3,300.00","1,000.00","2,973.63",04/10/2025
111,KDBY,9.20,8.99,9.20,8.99,"1,900","17,401",17,9.20(0.04),9.16,9.15,11.00,8.26,36.80,04/10/2025
112,KDL,"1,101.80","1,125.00","1,128.00","1,100.20","2,150","2,379,213.5",55,"1,100.20(-13.34)","1,113.54","1,106.61","1,381.00",752.10,"6,610.80",04/10/2025
113,KEF,9.20,9.00,9.20,9.00,"79,264","727,047.5",31,9.20(0.2),9.00,9.17,10.76,7.85,920.00,04/10/2025
114,KKHC,346.26,350.00,350.00,342.20,"6,367","2,192,687.6",61,346.00(2.15),343.85,344.38,475.00,213.00,"1,612.58",04/10/2025
115,KMCDB,"1,056.97","1,072.00","1,073.00","1,050.00","2,041","2,153,113.1",70,"1,068.00(15.98)","1,052.02","1,054.93","1,285.00",732.50,"4,309.19",04/10/2025
116,KPCL,522.06,521.00,530.00,520.00,"10,581","5,536,961.3",78,520.00(-11.46),531.46,523.29,652.40,380.20,"4,875.78",04/10/2025
117,KSBBL,441.48,436.00,443.00,435.40,"15,124","6,640,367.7",75,436.60(-4.35),440.95,439.06,564.80,341.00,"15,499.68",04/10/2025
118,KSY,9.02,9.02,9.02,9.02,100,902,1,9.02(-0.18),9.20,9.02,10.91,7.77,671.77,04/10/2025
119,LBBL,425.44,417.00,429.90,417.00,"15,826","6,742,072.5",101,423.10(1),422.10,426.01,560.00,361.00,"15,416.58",04/10/2025
120,LBBLD89,"1,252.00","1,251.00","1,252.00","1,251.00",45,"56,325",4,"1,252.00(19.2)","1,232.80","1,251.66","1,270.00","1,049.60","1,252.00",04/10/2025
121,LEC,207.36,209.00,210.90,206.00,"105,479","21,891,284.3",282,207.90(0.55),207.35,207.54,344.00,175.10,"4,665.60",04/10/2025
122,LICN,984.99,985.70,997.00,983.00,"25,861","25,534,971.2",283,986.00(0.4),985.60,987.39,"2,475.00",975.00,"49,249.50",04/10/2025
123,LLBS,"1,079.00","1,046.20","1,079.00","1,046.20",227,"242,745.2",8,"1,079.00(12.6)","1,066.40","1,069.36","1,428.00",840.00,"4,765.53",04/10/2025
124,LSL,217.71,220.00,222.00,216.40,"389,609","84,864,126.6",218,217.30(-0.68),217.98,217.81,300.00,143.60,"53,004.79",04/10/2025
125,LSLPO,115.90,107.50,115.90,107.50,"10,000","1,117,200",5,115.90(10.5),105.40,111.72,145.00,100.00,546.70,04/10/2025
126,LUK,9.63,9.61,9.70,9.61,"3,535","34,046.86",13,9.64(-0.13),9.77,9.63,10.22,8.16,628.48,04/10/2025
127,LVF2,9.14,9.07,9.18,9.07,700,"6,392",7,9.14(0.07),9.07,9.13,10.01,7.50,731.20,04/10/2025
128,MAKAR,701.46,699.00,706.00,690.10,"3,913","2,733,267.5",73,703.00(4.06),698.94,698.50,860.00,342.00,"5,331.10",04/10/2025
129,MANDU,880.55,880.00,887.00,879.00,"1,802","1,587,723.6",61,881.00(6.1),874.90,881.08,"1,493.10",721.20,"12,007.51",04/10/2025
130,MATRI,"1,225.52","1,198.10","1,269.00","1,180.20","2,069","2,503,516",63,"1,186.00(-9.98)","1,195.98","1,210.01","1,716.00",820.00,"7,700.65",04/10/2025
131,MBJC,315.34,315.00,318.00,313.00,"29,497","9,288,588.2",311,315.80(0.64),315.16,314.89,433.00,279.30,"18,920.40",04/10/2025
132,MBL,226.30,230.00,230.00,226.00,"86,878","19,713,163.1",135,226.90(-0.05),226.95,226.90,295.00,157.80,"26,299.13",04/10/2025
133,MCHL,607.30,585.00,616.00,576.00,"21,309","12,710,720.1",277,609.90(34.66),575.24,596.49,714.00,355.00,"3,295.11",04/10/2025
134,MDB,615.92,623.00,623.00,612.00,"16,804","10,352,611.1",146,616.00(-0.92),616.92,616.08,843.50,414.00,"7,496.36",04/10/2025
135,MEHL,532.73,520.00,551.00,520.00,"20,001","10,619,595.2",234,530.00(-0.54),530.54,530.95,696.00,294.00,"4,261.84",04/10/2025
136,MEL,311.93,315.00,320.00,311.00,"67,670","21,237,965.1",326,311.00(-2.27),313.27,313.84,393.00,215.00,"9,045.97",04/10/2025
137,MEN,578.57,583.00,583.00,575.20,"24,846","14,357,252.6",179,577.10(-2.04),579.14,577.84,809.50,500.80,"15,058.53",04/10/2025
138,MERO,703.38,718.00,718.00,702.30,"5,558","3,917,202.8",73,704.00(-8.55),712.55,704.78,980.00,602.00,"9,980.96",04/10/2025
139,MFIL,601.31,605.00,605.00,597.00,"10,855","6,512,609.3",83,602.00(2.69),599.31,599.96,917.00,490.00,"8,127.02",04/10/2025
140,MFLD85,"1,069.20","1,069.20","1,069.20","1,069.20",25,"26,730",1,"1,069.20(-14.8)","1,084.00","1,069.20","1,115.80",990.00,534.60,04/10/2025
141,MHCL,506.25,500.00,511.90,500.00,"11,892","6,002,567.4",154,509.00(8.99),500.01,504.75,655.00,355.00,"4,062.66",04/10/2025
142,MHL,696.43,690.20,707.00,688.00,"5,119","3,565,272",66,703.00(2.95),700.05,696.47,"1,101.00",384.00,"4,504.28",04/10/2025
143,MHNL,255.77,261.00,262.00,253.60,"27,830","7,150,950.7",120,259.00(2.75),256.25,256.95,379.00,215.70,"3,197.13",04/10/2025
144,MKCL,"1,619.21","1,652.90","1,654.90","1,616.10","4,993","8,111,278.5",92,"1,634.00(3.91)","1,630.09","1,624.53","1,926.00",785.00,"11,334.47",04/10/2025
145,MKHC,506.54,489.40,529.00,489.40,"22,453","11,307,192.5",193,508.80(9.46),499.34,503.59,627.00,298.00,"5,065.40",04/10/2025
146,MKHL,669.53,683.00,683.20,656.90,"7,505","5,029,478",79,665.30(-4.53),669.83,670.15,765.00,399.00,"2,625.61",04/10/2025
147,MKJC,580.77,558.00,584.70,558.00,"121,294","69,111,328.5",507,581.00(21.75),559.25,569.78,735.00,402.00,"2,185.55",04/10/2025
148,MLBBL,"1,495.55","1,511.00","1,515.80","1,486.10","1,647","2,468,941",39,"1,515.00(4.39)","1,510.61","1,499.05","2,019.00",995.00,"3,349.03",04/10/2025
149,MLBL,386.89,390.00,392.00,385.20,"71,834","27,824,147.4",302,386.20(-3.48),389.68,387.33,498.00,311.70,"16,622.57",04/10/2025
150,MLBS,"1,747.00","1,773.00","1,790.00","1,721.00","1,091","1,906,454.6",35,"1,759.00(20.43)","1,738.57","1,747.43","2,530.00","1,130.00","1,910.78",04/10/2025
151,MLBSL,"2,248.92","2,259.90","2,260.00","2,222.00","1,278","2,875,397.1",30,"2,257.00(21.69)","2,235.31","2,249.91","2,648.70","1,647.00","4,892.81",04/10/2025
